Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt
LSIL,NL,METALS AND MINING,#N/A,#N/A,2,#N/A,#N/A,#N/A,#N/A
LT,Buy,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,1739.25,-0.47,1754.5,1719.6,0.008691935
LTI,NL,IT,USDINR,UP,751.4,-0.43,752.05,742,0.000864304
LTTS,NL,IT,#N/A,#N/A,754.65,0.43,759.95,750,0.006974143
LUMAXIND,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,0,0,1445.65,0.57,1461.95,1443,0.011149492
LUMAXTECH,HWLV,AUTO-AUTOMOBILES AND AUTO PARTS,0,0,514.55,0.17,522,505.15,0.014272031
LUPIN,Buy,PHARMA,#N/A,#N/A,1258.9,0.27,1273.9,1256.7,0.011774865
LUXIND,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,825.75,#N/A,#N/A,#N/A,#N/A
LYCOS,Exit,REALTY,#N/A,#N/A,7.1,0,0,0,#DIV/0!
LYKALABS,Exit,PHARMA,#N/A,#N/A,52.15,#N/A,#N/A,#N/A,#N/A
LYPSAGEMS,HWLV,JEWELLERY,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A
M&M,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,1376.4,-0.03,1402.2,1362.8,0.018399658
M&MFIN,HWV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,331.55,1.95,340.5,332.85,0.026284875
M100,Exit,ETF,#N/A,#N/A,19.25,#N/A,#N/A,#N/A,#N/A
M50,Exit,ETF,#N/A,#N/A,88.55,#N/A,#N/A,#N/A,#N/A
MAANALU,HWLV,METALS AND MINING,#N/A,#N/A,122.1,-0.9,123.6,119.6,0.012135922
MADHAV,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,75.5,1.39,78.7,75.45,0.040660737
MADHUCON,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,59.2,-1.94,60.4,57.55,0.01986755
MADRASFERT,Exit,CHEMICALS,#N/A,#N/A,26,#N/A,#N/A,#N/A,#N/A
MAGMA,Buy,FINANCIAL SERVICES-NBFC,Interest Rate,Down,127.95,-2.97,129.3,123.2,0.010440835
MAGNUM,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,3.85,#N/A,#N/A,#N/A,#N/A
MAHABANK,Exit,BANKS-PSU,#N/A,#N/A,35.45,#N/A,#N/A,#N/A,#N/A
MAHASTEEL,,METALS AND MINING,#REF!,#REF!,88.5,-10,89.6,79.65,
