Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt
RELIGARE,Exit,FINANCIAL SERVICES,#REF!,#REF!,185.2,0.67,187.1,182.5,0.010154997
RELINFRA,Exit,INFRA-POWER,#N/A,#N/A,594.6,-0.77,602.9,586.2,0.013766794
REMSONSIND,Exit,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,53.45,#N/A,#N/A,#N/A,#N/A
RENUKA,Exit,FMCG-SUGAR,#N/A,#N/A,14.55,0,14.8,14.5,0.016891892
REPCOHOME,Buy,FINANCIAL SERVICES-NBFC,#REF!,#REF!,758.95,-0.86,759.4,748.2,0.000592573
REPRO,TA,MEDIA-ENTERTAINMENT,#N/A,#N/A,487.85,#N/A,#N/A,#N/A,#N/A
RESPONIND,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,88.7,-0.45,89.7,88.15,0.011148272
REVATHI,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,947.15,-0.27,965.9,937.95,0.019411947
RICOAUTO,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,59.5,-0.5,60.85,59.05,0.022185703
RIIL,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,500.35,-1.13,503.8,492.85,0.006847956
RJL,HWLV,IT,#N/A,#N/A,160.3,0.44,163,160.1,0.016564417
RKDL,Exit,FMCG-BEVERAGES,#N/A,#N/A,11.15,#N/A,#N/A,#N/A,#N/A
RKFORGE,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,482.55,1.12,490.05,482,0.015304561
RMCL,Exit,FMCG-PACKAGING,#N/A,#N/A,34.5,0,0,0,#DIV/0!
RML,HWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,474.7,1.05,498,467.5,0.046787149
ROHITFERRO,Exit,METALS AND MINING,#N/A,#N/A,5.95,#N/A,#N/A,#N/A,#N/A
ROHLTD,HWLV,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,112.5,-2.98,112.05,109.1,-0.004016064
ROLLT,NL,FMCG-PACKAGING,#N/A,#N/A,8.95,#N/A,#N/A,#N/A,#N/A
ROLTA,HWV,DEFENCE,#REF!,#REF!,60.2,0.33,61.05,60.2,0.013923014
ROSSELLIND,TA,FMCG-BEVERAGES,#N/A,#N/A,116.35,#N/A,#N/A,#N/A,#N/A
RPGLIFE,HWV,PHARMA,#REF!,#REF!,384.7,4.76,412.95,384,0.068410219
RPOWER,HWV,INFRA-POWER,#N/A,#N/A,47.7,-1.05,48.05,47.15,0.007284079
RPPINFRA,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,279.8,0.5,281.95,278,0.007625466
RSSOFTWARE,Exit,IT,#REF!,#REF!,82.65,-1.15,83.25,81.5,0.007207207
RSWM,BWLV,TEXTILES AND APPAREL,cotton,Down,427.55,-1.23,432.95,420.5,0.012472572
RSYSTEMS,HWLV,IT,#N/A,#N/A,48.25,#N/A,#N/A,#N/A,#N/A
RTNINFRA,Exit,INFRA-POWER,#N/A,#N/A,3.85,#N/A,#N/A,#N/A,#N/A
RTNPOWER,Exit,INFRA-POWER,#N/A,#N/A,8.6,-1.74,8.75,8.4,0.017142857
RUBYMILLS,HWLV,TEXTILES AND APPAREL,#REF!,#REF!,401.5,0.88,410.75,397,0.022519781
RUCHINFRA,Exit,TRANSPORTATION LOGISTICS,#N/A,#N/A,3.3,#N/A,#N/A,#N/A,#N/A
RUCHIRA,HWLV,PAPER,#N/A,#N/A,168.6,-0.3,171.7,167.1,0.018054747
RUCHISOYA,Exit,FMCG-FOOD,#REF!,#REF!,25.85,0.39,26.4,25.75,0.020833333
RUPA,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,380.05,3.67,400.6,380,0.051298053
RUSHIL,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,713,-0.11,723,710.05,0.013831259
SABEVENTS,NL,MEDIA,#N/A,#N/A,46.4,#N/A,#N/A,#N/A,#N/A
SABTN,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,236.5,#N/A,#N/A,#N/A,#N/A
SADBHAV,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,338.25,2.2,350,340.05,0.033571429
SADBHIN,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#REF!,#REF!,106.9,0,111.3,106.05,0.039532794
SAGCEM,Exit,CEMENTS,#N/A,#N/A,824.2,-1.08,830,812.3,0.006987952
SAIL,Exit,METALS AND MINING,#N/A,#N/A,61.1,0.41,61.85,61.05,0.012126112
SAKHTISUG,Exit,FMCG-SUGAR,#REF!,#REF!,33.5,-1.04,33.75,33,0.007407407
SAKSOFT,HWV,IT,#N/A,#N/A,236,-0.42,239.75,234.95,0.015641293
SAKUMA,HWLV,FMCG-FOOD,#N/A,#N/A,65.2,#N/A,#N/A,#N/A,#N/A
SALONA,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,59.8,#N/A,#N/A,#N/A,#N/A
SALORAINTL,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,59.05,#N/A,#N/A,#N/A,#N/A
SALSTEEL,TA,METALS AND MINING,#N/A,#N/A,6.95,#N/A,#N/A,#N/A,#N/A
SALZERELEC,HWLV,REALTY-HOUSEHOLD,#REF!,#REF!,210.8,0.76,212.75,209.2,0.009165687
SAMBHAAV,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,7.3,#N/A,#N/A,#N/A,#N/A
SANCO,TA,REALTY-HOUSEHOLD,#N/A,#N/A,117.25,#N/A,#N/A,#N/A,#N/A
SANDESH,HWLV,MEDIA-ENTERTAINMENT,#N/A,#N/A,959.3,#N/A,#N/A,#N/A,#N/A
SANGAMIND,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,311.3,-1.38,313.75,306,0.007808765
SANGHIIND,Exit,CEMENTS,#REF!,#REF!,79.75,3.82,85.75,79.8,0.069970845
SANGHVIFOR,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,42.6,#N/A,#N/A,#N/A,#N/A
SANGHVIMOV,BWLV,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,266.6,-1.52,269.9,262.4,0.012226751
SANOFI,HWV,PHARMA,#REF!,#REF!,4230.95,-0.47,4220.95,4192,-0.002369135
SANWARIA,HWLV,FMCG-FOOD,#N/A,#N/A,15.4,-1.3,15.85,15.2,0.028391167
SARDAEN,Buy,METALS AND MINING,Iron Ore & Mangnese Ore,Down,254,3.94,267.45,253.55,0.050289774
SAREGAMA,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,251.3,-0.12,256.65,250.5,0.020845509
SARLAPOLY,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,61.45,#N/A,#N/A,#N/A,#N/A
SASKEN,BWLV,IT,#REF!,#REF!,412.3,0.53,418,410.85,0.013636364
SASTASUNDR,Exit,FMCG-FOOD,#N/A,#N/A,148.15,#N/A,#N/A,#N/A,#N/A
SATHAISPAT,Exit,METALS AND MINING,#N/A,#N/A,54.55,#N/A,#N/A,#N/A,#N/A
SATIN,Buy,FINANCIAL SERVICES,#REF!,#REF!,365.4,-0.22,371,363.15,0.01509434
SBIN,RS,BANKS-PSU,#N/A,#N/A,294.45,0.83,299,294.45,0.015217391
SCHNEIDER,BWLV,INFRA-POWER,#REF!,#REF!,150.95,-1.16,152.15,149.1,0.007886954
SCI,Exit,TRANSPORTATION LOGISTICS,#REF!,#REF!,79.8,-1.44,80.65,78.5,0.010539368
SDBL,HWLV,FMCG-BEVERAGES,#N/A,#N/A,152.95,#N/A,#N/A,#N/A,#N/A
SEAMECLTD,Exit,TRANSPORTATION LOGISTICS,#N/A,#N/A,126.2,#N/A,#N/A,#N/A,#N/A
SEINV,BWLV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,177.95,#N/A,#N/A,#N/A,#N/A
SELAN,HWV,ENERGY-OIL & GAS,#REF!,#REF!,177.4,0.62,179.7,177.5,0.01279911
SELMCL,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3.7,#N/A,#N/A,#N/A,#N/A
SEPOWER,Exit,INFRA-POWER,#N/A,#N/A,12.3,#N/A,#N/A,#N/A,#N/A
SEQUENT,Exit,PHARMA,#REF!,#REF!,123.5,0.57,125.2,123.6,0.013578275
SERVALL,Exit,PAPER,#N/A,#N/A,3.35,#N/A,#N/A,#N/A,#N/A
SESHAPAPER,BWLV,PAPER,#N/A,#N/A,785.25,#N/A,#N/A,#N/A,#N/A
SETCO,NL,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,41.2,#N/A,#N/A,#N/A,#N/A
SEZAL,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,5.95,#N/A,#N/A,#N/A,#N/A
SFL,NL,REALTY-HOUSEHOLD,#N/A,#N/A,1364.5,-1.79,1364,1265,-0.000366569
SGL,Exit,TEXTILES AND APPAREL,#N/A,#N/A,15.4,#N/A,#N/A,#N/A,#N/A
SHAHALLOYS,Exit,METALS AND MINING,#N/A,#N/A,18.85,#N/A,#N/A,#N/A,#N/A
SHAKTIPUMP,HWV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,268.7,-0.11,274,266.8,0.019343066
SHALPAINTS,Exit,REALTY-HOUSEHOLD,#REF!,#REF!,227.75,1.67,233.95,223.45,0.026501389
SHANKARA,NL,#REF!,#N/A,#N/A,726.45,#N/A,#N/A,#N/A,#N/A
SHANTIGEAR,HWLV,AUTO-AUTO ANCL AND COMPONENTS,STEEL,Down,130.7,-0.54,131.5,129.65,0.00608365
SHARDACROP,Buy,CHEMICALS,Agro Chemical,#REF!,535.8,-0.5,542,531.2,0.011439114
SHARDAMOTR,BWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,1831,3.88,1925.6,1825.05,0.049127545
SHARIABEES,Exit,ETF,#N/A,#N/A,225,#N/A,#N/A,#N/A,#N/A
SHARONBIO,Exit,PHARMA,#N/A,#N/A,7.25,#N/A,#N/A,#N/A,#N/A
SHEMAROO,BWLV,MEDIA-ENTERTAINMENT,#REF!,#REF!,361.6,-3.43,369.8,345.55,0.022174148
SHILPAMED,RS,PHARMA,#REF!,#REF!,695.35,0.09,698.8,693.1,0.004937035
SHILPI,Exit,INFRA-TELECOM,#REF!,#REF!,75,-5,71.25,71.25,-0.052631579
SHIRPUR-G,RS,METALS AND MINING,#REF!,#REF!,114.05,-0.92,115,113,0.00826087
SHIVAMAUTO,Exit,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,57.65,#N/A,#N/A,#N/A,#N/A
SHIVTEX,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,336.35,0.91,346,331,0.027890173
SHK,HWV,FMCG,#REF!,#REF!,315.25,-0.08,318,313.6,0.008647799
SHOPERSTOP,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,359.2,#N/A,#N/A,#N/A,#N/A
SHREECEM,RS,CEMENTS,FLY ASH,#REF!,19594.2,2.57,20401.15,19455.25,0.039554143
SHREEPUSHK,HWV,CHEMICALS,#REF!,#REF!,207.15,0.31,211,207,0.018246445
SHREERAMA,Exit,FMCG-PACKAGING,#N/A,#N/A,15.8,#N/A,#N/A,#N/A,#N/A
SHREYANIND,HWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,202.7,-2.81,206.8,196.3,0.019825919
SHREYAS,Buy,TRANSPORTATION LOGISTICS,#REF!,#REF!,361,-0.18,365,355,0.010958904
SHRIPISTON,NL,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,1203,#N/A,#N/A,#N/A,#N/A
SHRIRAMCIT,Buy,FINANCIAL SERVICES-NBFC,Interest Rate,Down,2105.4,0.69,2134.2,2091.2,0.013494518
SHRIRAMEPC,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,26.7,#N/A,#N/A,#N/A,#N/A
SHYAMCENT,Exit,METALS AND MINING,#N/A,#N/A,8.95,#N/A,#N/A,#N/A,#N/A
SHYAMTEL,Exit,INFRA-TELECOM,#N/A,#N/A,28.85,#N/A,#N/A,#N/A,#N/A
SICAGEN,Exit,METALS AND MINING,#N/A,#N/A,41.9,#N/A,#N/A,#N/A,#N/A
SICAL,Exit,TRANSPORTATION LOGISTICS,#REF!,#REF!,270.85,0.2,286,271,0.052972028
SIEMENS,Buy,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,1462.9,-3.94,1448.4,1401,-0.010011047
SIGNET,HWLV,FINANCIAL SERVICES,#REF!,#REF!,11.75,1.28,12,11.8,0.020833333
SIL,Exit,IT,#N/A,#N/A,25.2,#N/A,#N/A,#N/A,#N/A
SILINV,HWLV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,186.8,0.64,223.9,186.3,0.165698973
SIMBHALS,Exit,FMCG-SUGAR,#N/A,#N/A,34.2,#N/A,#N/A,#N/A,#N/A
SIMPLEX,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,35.5,0,0,0,#DIV/0!
SIMPLEXINF,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,409.7,0.32,414.45,407.3,0.011460972
SINTEX,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,115.05,-0.91,115.9,113.4,0.007333909
SITASHREE,Exit,FMCG-FOOD,#N/A,#N/A,6.3,#N/A,#N/A,#N/A,#N/A
SITINET,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,31.8,#N/A,#N/A,#N/A,#N/A
SIYSIL,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,1696.35,1.81,1735,1681.05,0.022276657
SJVN,Buy,INFRA-POWER,#REF!,#REF!,33.2,-2.41,33.75,32.1,0.016296296
SKFINDIA,HWV,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,1599.7,0.2,1633.7,1592.65,0.020811655
SKIL,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,32.9,#N/A,#N/A,#N/A,#N/A
SKIPPER,Buy,INFRA-POWER,#REF!,#REF!,195.9,0.31,199.4,193.3,0.017552658
SKMEGGPROD,Exit,FMCG-FOOD,#N/A,#N/A,75.4,#N/A,#N/A,#N/A,#N/A
SMARTLINK,HWLV,IT,#N/A,#N/A,98.55,0.66,101.9,98.25,0.032875368
SMLISUZU,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,1350.3,-1.5,1334,1312.5,-0.012218891
SMPL,Exit,METALS AND MINING,#N/A,#N/A,2.1,#N/A,#N/A,#N/A,#N/A
SMSPHARMA,HWLV,PHARMA,#REF!,#REF!,90.95,-2.03,91,88.2,0.000549451
SNOWMAN,Exit,TRANSPORTATION LOGISTICS,#REF!,#REF!,60.55,0.58,61.7,60.5,0.018638574
SOBHA,Buy,REALTY,#REF!,#REF!,409.8,-1.74,409.65,400,-0.000366166
SOLARINDS,HWLV,METALS AND MINING,#REF!,#REF!,799.1,0.11,812.2,792,0.016129032
SOMANYCERA,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,818.15,0.08,829.65,813.95,0.013861267
SOMATEX,Exit,TEXTILES AND APPAREL,#N/A,#N/A,13.15,#N/A,#N/A,#N/A,#N/A
SOMICONVEY,NL,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,57.4,#N/A,#N/A,#N/A,#N/A
SONASTEER,HWV,AUTO-AUTO ANCL AND COMPONENTS,NA,#REF!,82.3,0.24,83,82.25,0.008433735
SONATSOFTW,Buy,IT,#REF!,#REF!,163.45,1.38,167.9,164,0.026503871
SORILHOLD,NL,DIVERSIFIED,#N/A,#N/A,36.95,-2.17,37.5,35.35,0.014666667
SORILINFRA,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,143.15,3.25,149.9,145,0.04503002
SOTL,BWLV,ENERGY-OIL & GAS,#N/A,#N/A,996.7,#N/A,#N/A,#N/A,#N/A
SOUTHBANK,Buy,BANKS-PRIVATE,#N/A,#N/A,26.15,-0.76,26.4,25.85,0.009469697
SPAL,NL,TEXTILES AND APPAREL,#REF!,#REF!,397.95,-0.3,404.05,395,0.015097141
SPARC,Exit,PHARMA,#REF!,#REF!,316.25,-0.55,317.85,313.7,0.005033821
SPCENET,NL,IT,#N/A,#N/A,0.6,#N/A,#N/A,#N/A,#N/A
SPECIALITY,Exit,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,89.7,#N/A,#N/A,#N/A,#N/A
SPENTEX,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3.85,#N/A,#N/A,#N/A,#N/A
SPHEREGSL,HWLV,MEDIA-ENTERTAINMENT,#N/A,#N/A,64.2,#N/A,#N/A,#N/A,#N/A
SPIC,HWLV,FERTILISERS,#N/A,#N/A,31,#N/A,#N/A,#N/A,#N/A
SPICEMOBI,Exit,INFRA-TELECOM,#N/A,#N/A,14.95,#N/A,#N/A,#N/A,#N/A
SPLIL,Exit,TEXTILES AND APPAREL,#N/A,#N/A,23.65,#N/A,#N/A,#N/A,#N/A
SPMLINFRA,Exit,CEMENTS,#N/A,#N/A,108.8,#N/A,#N/A,#N/A,#N/A
SPYL,Exit,TEXTILES AND APPAREL,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A
SQSBFSI,HWLV,IT,#REF!,#REF!,532.25,1.48,543.8,533,0.021239426
SREEL,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,130.4,#N/A,#N/A,#N/A,#N/A
SREINFRA,Buy,FINANCIAL SERVICES-NBFC,Interest Rate,Down,112.85,-3.06,113,108.75,0.001327434
SRF,Buy,DIVERSIFIED,#N/A,#N/A,1779.7,0.08,1817.95,1767.05,0.021040183
SRGINFOTEC,Exit,IT,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A
SRHHYPOLTD,HWLV,CHEMICALS,#N/A,#N/A,139.05,#N/A,#N/A,#N/A,#N/A
SRIPIPES,Buy,METALS AND MINING,Coking Coal and Iron Ore,#REF!,369.75,-0.2,373,366,0.008713137
SRSLTD,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3.4,-1.47,3.5,3.35,0.028571429
SRTRANSFIN,Buy,FINANCIAL SERVICES-NBFC,#N/A,#N/A,1011.6,-0.04,1023.65,1007.8,0.011771602
SSWL,BWLV,AUTO-AUTO ANCL AND COMPONENTS,STEEL,Down,911.2,-0.52,923.15,900.4,0.012944809
STAMPEDE,NL,FINANCIAL SERVICES,#REF!,#REF!,22.25,-0.9,22.8,21.85,0.024122807
STAR,Buy,PHARMA,#N/A,#N/A,1073.6,-0.66,1077.9,1055.05,0.003989238
STARPAPER,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,202.65,-3.23,204.55,195.3,0.009288682
STCINDIA,Exit,DIVERSIFIED,#REF!,#REF!,171.4,-0.15,173.5,171.1,0.012103746
STEL,TA,FINANCIAL SERVICES-NBFC,#N/A,#N/A,87,#N/A,#N/A,#N/A,#N/A
STERLINBIO,Exit,PHARMA,#N/A,#N/A,4.9,#N/A,#N/A,#N/A,#N/A
STERTOOLS,BWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,272.7,0.48,284,272.7,0.039788732
STINDIA,Exit,METALS AND MINING,#N/A,#N/A,16.7,#N/A,#N/A,#N/A,#N/A
STRTECH,Buy,INFRA-TELECOM,#REF!,#REF!,154.2,-0.29,156.5,153.45,0.014696486
SUBEX,Exit,IT,#N/A,#N/A,11.25,0,11.45,11.15,0.017467249
SUBROS,RS,AUTO-AUTO ANCL AND COMPONENTS,#REF!,#REF!,257.45,0.7,265.05,250.8,0.028673835
SUDARSCHEM,HWV,CHEMICALS,CRUDE OIL,Down,407.25,-2.42,410.9,395.35,0.00888294
SUJANAUNI,Exit,METALS AND MINING,#N/A,#N/A,1.3,#N/A,#N/A,#N/A,#N/A
SUMEETINDS,HWV,TEXTILES AND APPAREL,#REF!,#REF!,36.95,2.57,38.65,37.2,0.043984476
SUMMITSEC,Exit,FINANCIAL SERVICES-NBFC,#N/A,#N/A,650.4,#N/A,#N/A,#N/A,#N/A
SUNCLAYLTD,RS,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,4137.55,-0.91,4220.05,4085,0.019549531
SUNDARAM,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,3.25,0,3.35,3.15,0.029850746
SUNDARMFIN,HWV,FINANCIAL SERVICES-NBFC,#REF!,#REF!,1519.75,0.01,1529.65,1511.55,0.006472069
SUNDRMBRAK,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,442.7,13.16,518,435,0.145366795
SUNDRMFAST,Buy,AUTO-AUTO ANCL AND COMPONENTS,STEEL,Down,399.75,-1.01,403.1,395.05,0.008310593
SUNFLAG,Buy,METALS AND MINING,Iron Ore,#REF!,37.75,-0.13,38.4,37.6,0.016927083
SUNILHITEC,HWV,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,14.35,0.35,14.7,14.4,0.023809524
SUNPHARMA,Buy,PHARMA,#N/A,#N/A,642.8,0.35,647.2,640.15,0.006798517
SUNTECK,Buy,REALTY,#REF!,#REF!,449.75,-2.29,454.4,438,0.010233275
SUNTV,HWV,MEDIA-ENTERTAINMENT,#N/A,#N/A,862.5,5.1,919.8,862.55,0.062296151
SUPERHOUSE,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,158.65,#N/A,#N/A,#N/A,#N/A
SUPERSPIN,Exit,TEXTILES AND APPAREL,#N/A,#N/A,16.75,#N/A,#N/A,#N/A,#N/A
SUPPETRO,BWLV,CHEMICALS,CRUDE OIL,Down,409.75,-1.94,417,400,0.017386091
SUPRAJIT,HWLV,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,247.6,0.57,250.85,243.55,0.01295595
SUPREMEIND,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,1189.5,-0.38,1204.75,1170,0.012658228
SUPREMEINF,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,86.9,#N/A,#N/A,#N/A,#N/A
SUPREMETEX,Exit,TEXTILES AND APPAREL,#N/A,#N/A,4,#N/A,#N/A,#N/A,#N/A
SURANAIND,Exit,METALS AND MINING,#N/A,#N/A,4.3,#N/A,#N/A,#N/A,#N/A
SURANASOL,Exit,INFRA-POWER,#N/A,#N/A,21.7,#N/A,#N/A,#N/A,#N/A
SURANAT&P,HWLV,INFRA-TELECOM,#N/A,#N/A,4.85,#N/A,#N/A,#N/A,#N/A
SURYALAXMI,HWLV,TEXTILES AND APPAREL,#REF!,#REF!,116.15,1.59,118.9,115.7,0.02312868
SURYAROSNI,HWV,REALTY-HOUSEHOLD,steel,#REF!,284.05,-0.07,290,283.05,0.020517241
SUTLEJTEX,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,922.6,#N/A,#N/A,#N/A,#N/A
SUVEN,Buy,PHARMA,#REF!,#REF!,187.65,3.54,198.8,187.55,0.056086519
SUZLON,Exit,INFRA-POWER,#N/A,#N/A,21.2,0.24,21.75,21.2,0.025287356
SWANENERGY,RS,TEXTILES AND APPAREL,#REF!,#REF!,158.6,-4.38,159.4,150.4,0.005018821
SWARAJENG,HWLV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,1835.1,-0.55,1837.15,1820.55,0.001115859
SWELECTES,HWLV,INFRA-POWER,#N/A,#N/A,375.15,#N/A,#N/A,#N/A,#N/A
SYMPHONY,Exit,REALTY-HOUSEHOLD,#REF!,#REF!,1458.6,0.84,1484.95,1464,0.017744705
SYNCOM,Exit,PHARMA,#N/A,#N/A,6.3,#N/A,#N/A,#N/A,#N/A
SYNDIBANK,Buy,BANKS-PSU,#N/A,#N/A,90.7,0.66,92.85,90.2,0.023155627
SYNGENE,HWV,PHARMA,#REF!,#REF!,462.75,-3.83,469.3,443.25,0.013956957
TAINWALCHM,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,59.8,#N/A,#N/A,#N/A,#N/A
TAJGVK,RS,ENTERTAINMENT-HOTELS AND LEISURE,#REF!,#REF!,165.05,0.27,170.95,164.1,0.034513016
TAKE,Buy,IT,#REF!,#REF!,139.8,-1.22,141.15,138,0.009564293
TALBROAUTO,HWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,163.85,0.92,168.5,162.7,0.027596439
TALWALKARS,Buy,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,272.8,3.56,284.95,272,0.042639059
TANLA,HWV,IT,#REF!,#REF!,50.45,0.3,51.9,50.4,0.027938343
TANTIACONS,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,21.45,#N/A,#N/A,#N/A,#N/A
TARAJEWELS,Exit,JEWELLERY,#N/A,#N/A,38.85,#N/A,#N/A,#N/A,#N/A
TARAPUR,Exit,INFRA-POWER,#N/A,#N/A,8.3,#N/A,#N/A,#N/A,#N/A
TARMAT,RS,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,48.2,#N/A,#N/A,#N/A,#N/A
TASTYBITE,NL,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,5209.95,#N/A,#N/A,#N/A,#N/A
TATACHEM,Buy,CHEMICALS,#N/A,#N/A,644.35,-1.23,649,634.1,0.007164869
TATACOFFEE,Buy,FMCG-BEVERAGES,COFFEE/ BRAZILLIAN REAL,DOWN,131.9,-1.14,132.65,129.95,0.005653977
TATACOMM,Buy,IT,#N/A,#N/A,662.4,0.54,669.5,657.6,0.010604929
TATAELXSI,Buy,IT,#N/A,#N/A,1538.55,-0.46,1547.75,1530,0.005944112
TATAGLOBAL,Buy,FMCG-BEVERAGES,#N/A,#N/A,154.85,-0.84,156.2,153.2,0.008642766
TATAINVEST,Buy,FINANCIAL SERVICES,#REF!,#REF!,668.5,-0.37,673,664.45,0.006686478
TATAMETALI,Buy,METALS AND MINING,"IRON ORE , coke",#REF!,663.75,0.52,673.8,661,0.014915405
TATAMOTORS,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,432.3,-1.06,434.5,427,0.005063291
TATAMTRDVR,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,263.35,0.42,266.9,264,0.013300862
TATAPOWER,Buy,INFRA-POWER,#N/A,#N/A,81.55,1.23,82.8,81.6,0.015096618
TATASPONGE,Buy,METALS AND MINING,iron ore,up,887.5,-1.7,891.75,871,0.00476591
TATASTEEL,Buy,METALS AND MINING,#N/A,#N/A,437.45,1.22,445.4,439.7,0.017849124
TBZ,HWLV,JEWELLERY,#REF!,#REF!,94.7,0.69,96.5,94.5,0.01865285
TCI,Buy,TRANSPORTATION LOGISTICS,#REF!,#REF!,250.85,-0.84,253.8,247.2,0.011623325
TCIDEVELOP,Exit,REALTY,#N/A,#N/A,426.6,#N/A,#N/A,#N/A,#N/A
TCIEXP,NL,TRANSPORTATION LOGISTICS,#N/A,#N/A,452.65,#N/A,#N/A,#N/A,#N/A
TCIFINANCE,HWLV,FINANCIAL SERVICES,#N/A,#N/A,29.65,#N/A,#N/A,#N/A,#N/A
TCS,Buy,IT,#N/A,#N/A,2332.45,0.26,2347.9,2322.75,0.006580348
TDPOWERSYS,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,248.3,#N/A,#N/A,#N/A,#N/A
TEAMLEASE,Exit,IT,#REF!,#REF!,1137.4,-0.84,1135,1114.05,-0.002114537
TECHIN,Exit,FMCG-FOOD,#N/A,#N/A,4.8,#N/A,#N/A,#N/A,#N/A
TECHM,Buy,IT,#N/A,#N/A,430.4,0.46,434.95,426.2,0.010460973
